target,sent_id1,sentence1,year1,text1,period1,sent_id2,sentence2,year2,text2,period2,semantic_relatedness,hate1,hate2
beares,594636,"as the supper of the lord is the sacrament of an other thinge , it is a commemoratiō of his death which suffered once for us , & bicause it is a signe of christes offering up , therefore y beares i e name therof .",1549,HughLatimer,t0,628256,"for the minor or assumption of this sillogisme , that all protestants say , that god commaundeth , perswadeth , vrgeth , and impelleth men to sinne , is as trve , as that is , that catholikes in england be wrapped in beares skinnes , and cast unto dogges to be devoured , which was published in rome by a printed booke , and set out in tables , confirmed with pope gregory the 13 . priviledge .",1602,EdwardBulkley,t1,1,0,0
beares,786052,"whiles the pope nowe followeth not peter and paule ( the whiche he taketh for his authores ) in preachinge , teachinge , and feadinge of christes flocke , as the commaundement specifieth , so sitteth he besides the apostell stole , and the spirit of god shrinkethe frome him , the whiche more strengthened him then al the beares of the world .",1548,WalterLynne,t0,492503,"wonder it is that thou art not ashamed to accōpt thy selfe any of christes felowshippe , for in contempning and making light of his gospell thou declarest thy selfe a right paganime or rather a iewe , yea , i say thy longe prayr often fasting and almose deedes and all good woorkes that thou canst devise , shall nothing prevaile the : but appeare plainely in goddes sight as thinges most vile & detestable , so longe as thou bearest a supersticiouse hearte towardes his blessed testament .",1547,PhilipGerrard,t0,1,0,0
beares,594636,"as the supper of the lord is the sacrament of an other thinge , it is a commemoratiō of his death which suffered once for us , & bicause it is a signe of christes offering up , therefore y beares i e name therof .",1549,HughLatimer,t0,785921,"and immediatly after they soughte helpe , wherewith they iet continuallye ( y and againste christe him selfe ) will defende themselves.and this fall of the bishoppes firste broke oute clearly , by pope zachariam , and stephan the secōd against constantine the fifth , when they persuaded pipin the lieutenaunte of fraunce to helpe i e pope againste themperoure , and so doing , the pope wold make him king of fraunce , italy , and germany , with the favoure and good will of the magistratesand rulers.wherwith defendeth the pope his church nowe with christe or with beares ?",1548,WalterLynne,t0,1,0,1
beares,785805,"they have sought also their helpe by the worldly powers , whiche the beares signify and represent in this figure .",1548,WalterLynne,t0,481257,"11 . elisha cursed those unhappy hangmans and wicked boys that mocked him , and presently came two beares out of the forrest which devoured them .",1598,ThomasStoughton,t1,4,0,0
beares,785690,"that the beares signify worldly might and cruell people : we finde it in the seconde booke of samuell , the sevententh chapter , [ 20 ] where as eusai reproved the counsell of ahitophell , sayng unto absolon , thou knowest thy father and his men , howe they be stronge , and they be chased in their mindes , and are even as a beare robbed of her whelpes in the felde .",1548,WalterLynne,t0,786052,"whiles the pope nowe followeth not peter and paule ( the whiche he taketh for his authores ) in preachinge , teachinge , and feadinge of christes flocke , as the commaundement specifieth , so sitteth he besides the apostell stole , and the spirit of god shrinkethe frome him , the whiche more strengthened him then al the beares of the world .",1548,WalterLynne,t0,4,0,0
beares,5960,"beholde thou art barren , & bearest not .",1550,JohnBale,t0,786052,"whiles the pope nowe followeth not peter and paule ( the whiche he taketh for his authores ) in preachinge , teachinge , and feadinge of christes flocke , as the commaundement specifieth , so sitteth he besides the apostell stole , and the spirit of god shrinkethe frome him , the whiche more strengthened him then al the beares of the world .",1548,WalterLynne,t0,1,0,0
beares,785921,"and immediatly after they soughte helpe , wherewith they iet continuallye ( y and againste christe him selfe ) will defende themselves.and this fall of the bishoppes firste broke oute clearly , by pope zachariam , and stephan the secōd against constantine the fifth , when they persuaded pipin the lieutenaunte of fraunce to helpe i e pope againste themperoure , and so doing , the pope wold make him king of fraunce , italy , and germany , with the favoure and good will of the magistratesand rulers.wherwith defendeth the pope his church nowe with christe or with beares ?",1548,WalterLynne,t0,607969,"but the olde age was an infante in witt , and a grammer scholler in arte : lucians rhetor , never so bravely furnished , will be heard with an eccho : iulian will rattle christendome : arrius will shake the church : macchiauell will ierke the commonwealth : vnico aretino will scourge princes : and heere is a lusty ladd of the castell , that will binde beares , and ride golden asses to death .",1593,GabrielHarvey,t1,4,1,0
beares,594636,"as the supper of the lord is the sacrament of an other thinge , it is a commemoratiō of his death which suffered once for us , & bicause it is a signe of christes offering up , therefore y beares i e name therof .",1549,HughLatimer,t0,492503,"wonder it is that thou art not ashamed to accōpt thy selfe any of christes felowshippe , for in contempning and making light of his gospell thou declarest thy selfe a right paganime or rather a iewe , yea , i say thy longe prayr often fasting and almose deedes and all good woorkes that thou canst devise , shall nothing prevaile the : but appeare plainely in goddes sight as thinges most vile & detestable , so longe as thou bearest a supersticiouse hearte towardes his blessed testament .",1547,PhilipGerrard,t0,4,0,0
beares,785921,"and immediatly after they soughte helpe , wherewith they iet continuallye ( y and againste christe him selfe ) will defende themselves.and this fall of the bishoppes firste broke oute clearly , by pope zachariam , and stephan the secōd against constantine the fifth , when they persuaded pipin the lieutenaunte of fraunce to helpe i e pope againste themperoure , and so doing , the pope wold make him king of fraunce , italy , and germany , with the favoure and good will of the magistratesand rulers.wherwith defendeth the pope his church nowe with christe or with beares ?",1548,WalterLynne,t0,121767,"h e that is driven from his countrey ( saith machiavell ) draweth [ 117 ] to that prince which will receive him , not for any good [ c ] affection he beares him , but as it were constrained by necessity : and therefore , having no other affection , but his owne profit , he betrayeth the prince , which hath taken him into favour , so soone as any other prince offereth him more profit , whatsoever faith and promise he hath sworne unto him.i place not here this maxime , to the end to confute or reprove it : for it is trve , in such manner as he deducteth and understandeth [ d ] it : but because his disciples understand and practise it otherwise , i thought good not to leave it behind .",1602,InnocentGentillet,t1,1,1,0
beares,5960,"beholde thou art barren , & bearest not .",1550,JohnBale,t0,276191,"neither are they ashamed to write , and in rome to publish that some of them have beene put into beares [ 695 ] skinnes and baited with dogges , which also they have set out in tables .",1603,GeorgeDowname,t1,1,0,0
