target,sent_id1,sentence1,year1,text1,period1,sent_id2,sentence2,year2,text2,period2,semantic_relatedness,hate1,hate2,hate1_second,hate2_second,semantic_relatedness_second
foxes,520323,[ 279 ] why foxes must be takē.,1585,EdwinSandys,t1,517592,"these are the lords two hands ; to both these he speaketh when hee saith , take the foxes .",1585,EdwinSandys,t1,4,2,2,0,0,4
foxes,441058,"i dare say he never herde in his life man nor woman say , that no man may pray but at chyrche.as trew is it also that men say their pater noster to the poste / by which name it pleaseth him of his reverent cristen minde to call the images of holy faintes and oure blissed lady , and the figure of cristes crosse , the booke of his bitter passyon.though we reverence these in honour of the thinges whiche they represent / and in the remembrauns of criste do crepe to the crosse and kisse it and say a pater noster at it : iet say we not the pater noster to it but to god / and that [ c ] woteth tindale full well , but that he listeth to rayle.as for that he sayth of the service , ceremonies , and observaunces of the chirche , which he calleth here vaine imaginacions , howlinge , buzsynge , and crienge out like halowinges of the foxes or baytynge of berys , & thus he saith it is now / but of olde time he saith i t the officers appointed there unto , preched the pure word of god onely , and prayd in a tonge that every man vnderstode.as for prechinge of the pure word of god : i muste wit of tindale whither he meane the worde writen or vnwryten or bothe .",1532,ThomasMore,t0,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,1,2,2,0,2,2
foxes,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,4,2,2,2,2,4
foxes,520829,these lawfull meanes are wisely to be used of christian magistrates ; as traps to take these litle foxes.34 the first is death .,1585,EdwinSandys,t1,497441,"now to the other articles of english matters , and english iesvits , the first is of their dissension , and particulerly of fa : garnet , and fa : weston , which this fa : saith we contradict in our latter bookes , complaining that fa : garnet , father weston , fa : parsons , and the rest , are too much united , the one obeying the others becke.you have read i suppose the history of sampsons foxes , who were all tied together by the tailes , running with their heads divers courses , iet all into the philistians corne .",1603,WilliamClark,t1,2,2,2,2,1,2
foxes,468319,"but i maruele that he sent not therwith , a foxes taile for a scepture , and a whode with two eares .",1551,JohnBale,t0,343300,"which duty in semblable maner should now long agoe have beene done of us , did not the hope wee conceive in the middest of many tempestes , confirme us in such expectation of her maiestie and her most honourable counsell , as that according to their clemency towardes the poore ministers and their families , but most especially according to their holy and zealous care , which ought to abound for the cleane driving out of the cananites , and planting , hedging , pruning , and continuall preserving of the lord his vineyard , from foxes , yea little foxes , this civill war , as a man may say , of the church wherein so much of that bloud [ 4 ] * ( wherof paule speaketh ) is powred to the grounde , shoulde by their holy and iuste authority , fully bee ended .",1584,Anonymous,t1,2,0,2,0,2,1
foxes,468319,"but i maruele that he sent not therwith , a foxes taile for a scepture , and a whode with two eares .",1551,JohnBale,t0,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,2,0,2,0,2,1
foxes,287034,"but for so much as it is our part principally and chiefly to foresee and looke unto these crafty foxes which goe about to destroy the vineiarde of the lord of hostes , therefore we do cite & and call forth by the tenour of these presentes , thy person manifoldly defamed and suspected for the temerarious affirming and teaching of manifold erroures , so that within the term of 15 . days to be accompted from the date of these presentes , wherof 5 . days are appointed for the first term five for the second , and other five for the third , we do ordein and appoint by canonicall admonition and warninge , that thou do appeare in the publique session of the sacred councell , if there be any holden the same day , or els i • first day immediately following , when as any session shalbe , according to the tenour of thy said writing , to answere to those thinges , which any person or persons shall obiect or lay against thee in any cause of thy faith , and to receive & have , as iustice shall require .",1583,JohnFoxe,t1,698249,"609 . the masse promiseth sufficient redemption to the wicked , that have spent their life in drunkennes , adultery , & c. if they come to the church and heare a masse , and take holy bread and holy water , or finde a soule priest , or give somewhat to the priest to doe penance for them , though they neither pray , nor repent , nor heare the word preached : for this the libeller crieth out , a shamelesse mate , a notorious ly , & c. and roger holland , that died for the gospell , who thus much confesseth of himselfe , he calleth in derision , holy holland , one of foxes martirs , runnagate roger.the defence .",1603,AndrewWillet1,t1,1,2,0,2,2,4
hornes,68059,"but now a days when we do se i e bisshops wearing those cappes w t hornes , i beseche i u what shall they signify .",1536,Anonymous1,t0,275240,"13 . and 17 . and in respect of his conditions and qualities , that he should be for opposition an adversary , although a disguised enemy ; for pride and ambition , advancing himselfe above all that is called god : for his other vices , a man of sinne in generall , and more specially an horrible idolatour : in regard of his effects , that he and his followers should be workers of signes and wonders , in the sight of men , that he should compell all sorts of men to receive the marke or name of the beast , or number of his name : and lastly , for that which he was to suster , that christ shall consume him with the breath of his mouth , that is , the ministery of the gospell ; and that thereupon the ten hornes which first assisted him , shall afterwards assault him : it followeth therefore , that unto such as we affirme to be antichrist , all these notes are to be applied , ( as we have applied them all to the pope of rome ) whereas contrariwise the deniall of any one essentiall property , is an argument sufficient to proove the negative .",1603,GeorgeDowname,t1,2,0,0,0,2,1
hornes,334075,"he hath not the hornes of the lambe , but like them : for he challengeth to himselfe power in temporall and in spiritvall matters : he maketh himselfe not onely a priest , but a king also : he will rule in heaven and in earth .",1590,LaurenceDeios,t1,275061,"in the second & seventh chapters , of them all together , resembling them in the second chapter by an image , the golden head whereof figureth the babilonians , the breast and armes of silver the medes and persians , the belly and sides of brasse , represent the macedonians , his legges of iron , and his feete , part of iron , and part of clay , resemble the seleucidae & lagidae : and in the seventh chapter , the same foure kingdomes are figured by 4 . beastes , the babilonians by a lion , the medes and persians by a beare , the macedonians by a leoparde , the seleucidae and lagidae , by the beast with tenne hornes.6 severally he prophecieth , either of the babilonian monarchy , or of the rest .",1603,GeorgeDowname,t1,2,0,0,0,1,3
hornes,68080,"there are certaine mery conceited felowes , whiche do suppose i t the two hornes doo betoken i t a bisshop ought to be lerned ī i e scriptur{is } of both testament{is } but the two fyllettes hanginge so at al auentures behinde their backe , they do thinke to signify contrary wise , that they are excedingly ignoraunt in bothe , & not so moche as to be willinge to learne theim .",1536,Anonymous1,t0,334749,"if these be not the two hornes of the lambe , what are they ?",1590,LaurenceDeios,t1,2,0,0,0,0,3
